Subject,TestGroup,Split,Classifier,Accuracy
338,V2,1,SVM,0.6666666666666666
338,V2,1,Correlation,0.5
338,V2,2,kNN,0.5
338,V2,2,sklearn_logistic_reg,0.5
338,V2,2,SVM,0.5
338,V2,2,Correlation,0.3333333333333333
338,V2,3,kNN,0.5
338,V2,3,sklearn_logistic_reg,0.8333333333333334
338,V2,3,SVM,0.3333333333333333
338,V2,3,Correlation,0.6666666666666666
338,V2,4,kNN,0.5
338,V2,4,sklearn_logistic_reg,0.5
338,V2,4,SVM,0.6666666666666666
338,V2,4,Correlation,0.5
338,V3,0,kNN,0.625
338,V3,0,sklearn_logistic_reg,0.625
338,V3,0,SVM,0.625
338,V3,0,Correlation,0.75
338,V3,1,kNN,0.3333333333333333
338,V3,1,sklearn_logistic_reg,0.5
338,V3,1,SVM,0.5
338,V3,1,Correlation,0.3333333333333333
338,V3,2,kNN,0.6666666666666666
338,V3,2,sklearn_logistic_reg,0.5
338,V3,2,SVM,0.6666666666666666
338,V3,2,Correlation,0.6666666666666666
338,V3,3,kNN,0.8333333333333334
338,V3,3,sklearn_logistic_reg,0.5
338,V3,3,SVM,0.5
338,V3,3,Correlation,0.6666666666666666
338,V3,4,kNN,0.5
338,V3,4,sklearn_logistic_reg,0.5
338,V3,4,SVM,0.6666666666666666
338,V3,4,Correlation,0.5
365,V1,0,kNN,0.625
365,V1,0,sklearn_logistic_reg,0.5
365,V1,0,SVM,0.5
365,V1,0,Correlation,0.625
365,V1,1,kNN,0.6666666666666666
365,V1,1,sklearn_logistic_reg,0.8333333333333334
365,V1,1,SVM,0.8333333333333334
365,V1,1,Correlation,0.6666666666666666
365,V1,2,kNN,0.3333333333333333
365,V1,2,sklearn_logistic_reg,0.6666666666666666
365,V1,2,SVM,0.5
365,V1,2,Correlation,0.5
365,V1,3,kNN,0.5
365,V1,3,sklearn_logistic_reg,0.6666666666666666
365,V1,3,SVM,0.6666666666666666
365,V1,3,Correlation,0.5
365,V1,4,kNN,0.8333333333333334
365,V1,4,sklearn_logistic_reg,0.8333333333333334
365,V1,4,SVM,0.8333333333333334
365,V1,4,Correlation,0.8333333333333334
365,V2,0,kNN,0.625
365,V2,0,sklearn_logistic_reg,0.625
365,V2,0,SVM,0.625
365,V2,0,Correlation,0.75
365,V2,1,kNN,1.0
365,V2,1,sklearn_logistic_reg,1.0
365,V2,1,SVM,1.0
365,V2,1,Correlation,1.0
365,V2,2,kNN,0.5
365,V2,2,sklearn_logistic_reg,0.5
365,V2,2,SVM,0.5
365,V2,2,Correlation,0.5
365,V2,3,kNN,0.6666666666666666
