Subject,TestGroup,Split,Classifier,Y_True,Y_Pred
212,N,1,kNN,"['V1', 'V1', 'V1', 'V2', 'V2', 'V2', 'V3', 'V3', 'V3']","['V1', 'V3', 'V2', 'V3', 'V3', 'V1', 'V1', 'V2', 'V1']"
212,N,1,sklearn_logistic_reg,"['V1', 'V1', 'V1', 'V2', 'V2', 'V2', 'V3', 'V3', 'V3']","['V3', 'V2', 'V2', 'V3', 'V3', 'V3', 'V1', 'V2', 'V1']"
212,N,1,SVM,"['V1', 'V1', 'V1', 'V2', 'V2', 'V2', 'V3', 'V3', 'V3']","['V3', 'V2', 'V2', 'V3', 'V3', 'V1', 'V1', 'V2', 'V3']"
212,N,1,Correlation,"['V1', 'V1', 'V1', 'V2', 'V2', 'V2', 'V3', 'V3', 'V3']","['V1', 'V2', 'V2', 'V3', 'V3', 'V1', 'V2', 'V2', 'V2']"
212,N,2,kNN,"['V1', 'V1', 'V1', 'V2', 'V2', 'V2', 'V3', 'V3', 'V3']","['V3', 'V3', 'V3', 'V1', 'V1', 'V3', 'V3', 'V1', 'V2']"
212,N,2,sklearn_logistic_reg,"['V1', 'V1', 'V1', 'V2', 'V2', 'V2', 'V3', 'V3', 'V3']","['V3', 'V1', 'V3', 'V1', 'V1', 'V3', 'V3', 'V1', 'V2']"
212,N,2,SVM,"['V1', 'V1', 'V1', 'V2', 'V2', 'V2', 'V3', 'V3', 'V3']","['V3', 'V3', 'V3', 'V1', 'V1', 'V3', 'V3', 'V1', 'V2']"
212,N,2,Correlation,"['V1', 'V1', 'V1', 'V2', 'V2', 'V2', 'V3', 'V3', 'V3']","['V3', 'V3', 'V3', 'V1', 'V1', 'V3', 'V3', 'V1', 'V2']"
212,N,3,kNN,"['V1', 'V1', 'V1', 'V2', 'V2', 'V2', 'V3', 'V3', 'V3']","['V2', 'V2', 'V2', 'V1', 'V2', 'V3', 'V2', 'V1', 'V1']"
212,N,3,sklearn_logistic_reg,"['V1', 'V1', 'V1', 'V2', 'V2', 'V2', 'V3', 'V3', 'V3']","['V2', 'V2', 'V3', 'V1', 'V1', 'V3', 'V2', 'V1', 'V1']"
212,N,3,SVM,"['V1', 'V1', 'V1', 'V2', 'V2', 'V2', 'V3', 'V3', 'V3']","['V3', 'V2', 'V3', 'V1', 'V1', 'V3', 'V3', 'V1', 'V1']"
212,N,3,Correlation,"['V1', 'V1', 'V1', 'V2', 'V2', 'V2', 'V3', 'V3', 'V3']","['V2', 'V2', 'V3', 'V1', 'V1', 'V3', 'V2', 'V1', 'V1']"
212,N,4,kNN,"['V1', 'V1', 'V1', 'V2', 'V2', 'V2', 'V3', 'V3', 'V3']","['V3', 'V2', 'V2', 'V3', 'V3', 'V3', 'V2', 'V1', 'V2']"
212,N,4,sklearn_logistic_reg,"['V1', 'V1', 'V1', 'V2', 'V2', 'V2', 'V3', 'V3', 'V3']","['V2', 'V2', 'V2', 'V3', 'V3', 'V3', 'V2', 'V1', 'V2']"
212,N,4,SVM,"['V1', 'V1', 'V1', 'V2', 'V2', 'V2', 'V3', 'V3', 'V3']","['V2', 'V2', 'V2', 'V3', 'V1', 'V3', 'V2', 'V2', 'V2']"
212,N,4,Correlation,"['V1', 'V1', 'V1', 'V2', 'V2', 'V2', 'V3', 'V3', 'V3']","['V3', 'V2', 'V2', 'V3', 'V3', 'V3', 'V2', 'V1', 'V2']"
249,S,0,kNN,"['V1', 'V1', 'V1', 'V2', 'V2', 'V2', 'V2', 'V3', 'V3', 'V3', 'V3']","['V3', 'V3', 'V3', 'V3', 'V3', 'V2', 'V3', 'V2', 'V3', 'V3', 'V3']"
249,S,0,sklearn_logistic_reg,"['V1', 'V1', 'V1', 'V2', 'V2', 'V2', 'V2', 'V3', 'V3', 'V3', 'V3']","['V3', 'V3', 'V3', 'V3', 'V1', 'V2', 'V1', 'V2', 'V1', 'V1', 'V1']"
249,S,0,SVM,"['V1', 'V1', 'V1', 'V2', 'V2', 'V2', 'V2', 'V3', 'V3', 'V3', 'V3']","['V3', 'V3', 'V3', 'V3', 'V3', 'V2', 'V3', 'V2', 'V3', 'V3', 'V3']"
249,S,0,Correlation,"['V1', 'V1', 'V1', 'V2', 'V2', 'V2', 'V2', 'V3', 'V3', 'V3', 'V3']","['V3', 'V3', 'V2', 'V1', 'V1', 'V3', 'V1', 'V2', 'V1', 'V3', 'V1']"
249,S,1,kNN,"['V1', 'V1', 'V1', 'V2', 'V2', 'V2', 'V3', 'V3', 'V3']","['V3', 'V2', 'V2', 'V2', 'V3', 'V2', 'V2', 'V2', 'V3']"
249,S,1,sklearn_logistic_reg,"['V1', 'V1', 'V1', 'V2', 'V2', 'V2', 'V3', 'V3', 'V3']","['V3', 'V2', 'V3', 'V1', 'V1', 'V2', 'V1', 'V2', 'V1']"
249,S,1,SVM,"['V1', 'V1', 'V1', 'V2', 'V2', 'V2', 'V3', 'V3', 'V3']","['V3', 'V2', 'V3', 'V3', 'V3', 'V2', 'V3', 'V2', 'V3']"
249,S,1,Correlation,"['V1', 'V1', 'V1', 'V2', 'V2', 'V2', 'V3', 'V3', 'V3']","['V3', 'V2', 'V3', 'V1', 'V1', 'V2', 'V1', 'V2', 'V2']"
249,S,2,kNN,"['V1', 'V1', 'V1', 'V2', 'V2', 'V2', 'V3', 'V3', 'V3']","['V2', 'V2', 'V3', 'V3', 'V3', 'V2', 'V3', 'V2', 'V2']"
249,S,2,sklearn_logistic_reg,"['V1', 'V1', 'V1', 'V2', 'V2', 'V2', 'V3', 'V3', 'V3']","['V2', 'V2', 'V3', 'V3', 'V1', 'V3', 'V3', 'V2', 'V2']"
249,S,2,SVM,"['V1', 'V1', 'V1', 'V2', 'V2', 'V2', 'V3', 'V3', 'V3']","['V2', 'V2', 'V3', 'V2', 'V3', 'V3', 'V3', 'V2', 'V2']"
249,S,2,Correlation,"['V1', 'V1', 'V1', 'V2', 'V2', 'V2', 'V3', 'V3', 'V3']","['V2', 'V2', 'V3', 'V3', 'V1', 'V1', 'V3', 'V2', 'V2']"
249,S,3,kNN,"['V1', 'V1', 'V2', 'V2', 'V2', 'V3', 'V3', 'V3']","['V2', 'V2', 'V3', 'V2', 'V2', 'V2', 'V2', 'V2']"
249,S,3,sklearn_logistic_reg,"['V1', 'V1', 'V2', 'V2', 'V2', 'V3', 'V3', 'V3']","['V2', 'V2', 'V3', 'V1', 'V1', 'V1', 'V2', 'V2']"
249,S,3,SVM,"['V1', 'V1', 'V2', 'V2', 'V2', 'V3', 'V3', 'V3']","['V2', 'V2', 'V3', 'V3', 'V2', 'V1', 'V2', 'V2']"
249,S,3,Correlation,"['V1', 'V1', 'V2', 'V2', 'V2', 'V3', 'V3', 'V3']","['V2', 'V2', 'V3', 'V1', 'V2', 'V1', 'V2', 'V2']"
249,S,4,kNN,"['V1', 'V1', 'V2', 'V2', 'V2', 'V3', 'V3', 'V3']","['V3', 'V2', 'V3', 'V2', 'V3', 'V3', 'V2', 'V3']"
249,S,4,sklearn_logistic_reg,"['V1', 'V1', 'V2', 'V2', 'V2', 'V3', 'V3', 'V3']","['V3', 'V2', 'V3', 'V3', 'V3', 'V3', 'V2', 'V1']"
249,S,4,SVM,"['V1', 'V1', 'V2', 'V2', 'V2', 'V3', 'V3', 'V3']","['V3', 'V2', 'V3', 'V3', 'V3', 'V3', 'V2', 'V3']"
249,S,4,Correlation,"['V1', 'V1', 'V2', 'V2', 'V2', 'V3', 'V3', 'V3']","['V3', 'V2', 'V3', 'V3', 'V3', 'V3', 'V2', 'V1']"
249,N,0,kNN,"['V1', 'V1', 'V1', 'V2', 'V2', 'V2', 'V2', 'V3', 'V3', 'V3', 'V3']","['V2', 'V2', 'V2', 'V3', 'V3', 'V2', 'V3', 'V3', 'V2', 'V2', 'V2']"
249,N,0,sklearn_logistic_reg,"['V1', 'V1', 'V1', 'V2', 'V2', 'V2', 'V2', 'V3', 'V3', 'V3', 'V3']","['V3', 'V2', 'V3', 'V3', 'V3', 'V1', 'V1', 'V1', 'V2', 'V2', 'V2']"
249,N,0,SVM,"['V1', 'V1', 'V1', 'V2', 'V2', 'V2', 'V2', 'V3', 'V3', 'V3', 'V3']","['V2', 'V2', 'V2', 'V3', 'V3', 'V3', 'V3', 'V3', 'V2', 'V2', 'V2']"
249,N,0,Correlation,"['V1', 'V1', 'V1', 'V2', 'V2', 'V2', 'V2', 'V3', 'V3', 'V3', 'V3']","['V2', 'V2', 'V3', 'V3', 'V1', 'V1', 'V1', 'V1', 'V2', 'V2', 'V2']"
249,N,1,kNN,"['V1', 'V1', 'V1', 'V2', 'V2', 'V2', 'V3', 'V3', 'V3']","['V2', 'V3', 'V3', 'V3', 'V3', 'V2', 'V2', 'V3', 'V2']"
249,N,1,sklearn_logistic_reg,"['V1', 'V1', 'V1', 'V2', 'V2', 'V2', 'V3', 'V3', 'V3']","['V3', 'V3', 'V2', 'V3', 'V3', 'V3', 'V2', 'V3', 'V2']"
249,N,1,SVM,"['V1', 'V1', 'V1', 'V2', 'V2', 'V2', 'V3', 'V3', 'V3']","['V2', 'V3', 'V3', 'V3', 'V3', 'V3', 'V2', 'V3', 'V2']"
249,N,1,Correlation,"['V1', 'V1', 'V1', 'V2', 'V2', 'V2', 'V3', 'V3', 'V3']","['V2', 'V3', 'V2', 'V3', 'V3', 'V3', 'V2', 'V3', 'V2']"
249,N,2,kNN,"['V1', 'V1', 'V1', 'V2', 'V2', 'V2', 'V3', 'V3', 'V3']","['V2', 'V3', 'V3', 'V3', 'V3', 'V2', 'V2', 'V2', 'V2']"
249,N,2,sklearn_logistic_reg,"['V1', 'V1', 'V1', 'V2', 'V2', 'V2', 'V3', 'V3', 'V3']","['V2', 'V3', 'V2', 'V1', 'V3', 'V2', 'V2', 'V1', 'V1']"
249,N,2,SVM,"['V1', 'V1', 'V1', 'V2', 'V2', 'V2', 'V3', 'V3', 'V3']","['V2', 'V3', 'V2', 'V3', 'V3', 'V3', 'V2', 'V3', 'V3']"
249,N,2,Correlation,"['V1', 'V1', 'V1', 'V2', 'V2', 'V2', 'V3', 'V3', 'V3']","['V2', 'V3', 'V2', 'V1', 'V3', 'V1', 'V2', 'V1', 'V1']"
249,N,3,kNN,"['V1', 'V1', 'V2', 'V2', 'V2', 'V3', 'V3', 'V3']","['V3', 'V2', 'V3', 'V2', 'V2', 'V2', 'V2', 'V2']"
249,N,3,sklearn_logistic_reg,"['V1', 'V1', 'V2', 'V2', 'V2', 'V3', 'V3', 'V3']","['V3', 'V3', 'V1', 'V3', 'V1', 'V2', 'V3', 'V2']"
249,N,3,SVM,"['V1', 'V1', 'V2', 'V2', 'V2', 'V3', 'V3', 'V3']","['V3', 'V3', 'V3', 'V3', 'V3', 'V2', 'V3', 'V3']"
249,N,3,Correlation,"['V1', 'V1', 'V2', 'V2', 'V2', 'V3', 'V3', 'V3']","['V3', 'V3', 'V1', 'V3', 'V1', 'V2', 'V3', 'V1']"
249,N,4,kNN,"['V1', 'V1', 'V2', 'V2', 'V2', 'V3', 'V3', 'V3']","['V2', 'V2', 'V3', 'V2', 'V3', 'V2', 'V2', 'V2']"
249,N,4,sklearn_logistic_reg,"['V1', 'V1', 'V2', 'V2', 'V2', 'V3', 'V3', 'V3']","['V2', 'V2', 'V1', 'V3', 'V1', 'V2', 'V1', 'V1']"
249,N,4,SVM,"['V1', 'V1', 'V2', 'V2', 'V2', 'V3', 'V3', 'V3']","['V2', 'V2', 'V2', 'V2', 'V3', 'V2', 'V2', 'V2']"
249,N,4,Correlation,"['V1', 'V1', 'V2', 'V2', 'V2', 'V3', 'V3', 'V3']","['V2', 'V2', 'V1', 'V3', 'V1', 'V2', 'V1', 'V1']"
338,S,0,kNN,"['V1', 'V1', 'V1', 'V1', 'V2', 'V2', 'V2', 'V2', 'V3', 'V3', 'V3', 'V3']","['V3', 'V2', 'V3', 'V3', 'V1', 'V3', 'V1', 'V3', 'V1', 'V1', 'V2', 'V3']"
338,S,0,sklearn_logistic_reg,"['V1', 'V1', 'V1', 'V1', 'V2', 'V2', 'V2', 'V2', 'V3', 'V3', 'V3', 'V3']","['V2', 'V2', 'V2', 'V3', 'V1', 'V1', 'V1', 'V3', 'V1', 'V1', 'V2', 'V3']"
338,S,0,SVM,"['V1', 'V1', 'V1', 'V1', 'V2', 'V2', 'V2', 'V2', 'V3', 'V3', 'V3', 'V3']","['V3', 'V3', 'V3', 'V3', 'V1', 'V1', 'V1', 'V3', 'V1', 'V1', 'V2', 'V3']"
338,S,0,Correlation,"['V1', 'V1', 'V1', 'V1', 'V2', 'V2', 'V2', 'V2', 'V3', 'V3', 'V3', 'V3']","['V3', 'V2', 'V2', 'V3', 'V1', 'V3', 'V1', 'V3', 'V1', 'V1', 'V2', 'V3']"
338,S,1,kNN,"['V1', 'V1', 'V1', 'V2', 'V2', 'V2', 'V3', 'V3', 'V3']","['V3', 'V2', 'V2', 'V1', 'V1', 'V3', 'V1', 'V2', 'V1']"
338,S,1,sklearn_logistic_reg,"['V1', 'V1', 'V1', 'V2', 'V2', 'V2', 'V3', 'V3', 'V3']","['V2', 'V2', 'V2', 'V1', 'V1', 'V3', 'V1', 'V2', 'V1']"
338,S,1,SVM,"['V1', 'V1', 'V1', 'V2', 'V2', 'V2', 'V3', 'V3', 'V3']","['V3', 'V3', 'V2', 'V3', 'V1', 'V3', 'V1', 'V3', 'V3']"
338,S,1,Correlation,"['V1', 'V1', 'V1', 'V2', 'V2', 'V2', 'V3', 'V3', 'V3']","['V2', 'V2', 'V2', 'V1', 'V1', 'V3', 'V1', 'V2', 'V1']"
338,S,2,kNN,"['V1', 'V1', 'V1', 'V2', 'V2', 'V2', 'V3', 'V3', 'V3']","['V2', 'V3', 'V2', 'V1', 'V3', 'V3', 'V2', 'V2', 'V1']"
338,S,2,sklearn_logistic_reg,"['V1', 'V1', 'V1', 'V2', 'V2', 'V2', 'V3', 'V3', 'V3']","['V2', 'V3', 'V2', 'V1', 'V3', 'V3', 'V1', 'V2', 'V1']"
338,S,2,SVM,"['V1', 'V1', 'V1', 'V2', 'V2', 'V2', 'V3', 'V3', 'V3']","['V2', 'V3', 'V2', 'V1', 'V3', 'V3', 'V1', 'V2', 'V2']"
338,S,2,Correlation,"['V1', 'V1', 'V1', 'V2', 'V2', 'V2', 'V3', 'V3', 'V3']","['V2', 'V3', 'V2', 'V1', 'V3', 'V3', 'V2', 'V2', 'V1']"
338,S,3,kNN,"['V1', 'V1', 'V1', 'V2', 'V2', 'V2', 'V3', 'V3', 'V3']","['V3', 'V3', 'V3', 'V1', 'V3', 'V3', 'V2', 'V2', 'V2']"
338,S,3,sklearn_logistic_reg,"['V1', 'V1', 'V1', 'V2', 'V2', 'V2', 'V3', 'V3', 'V3']","['V3', 'V3', 'V3', 'V3', 'V3', 'V3', 'V2', 'V2', 'V1']"
338,S,3,SVM,"['V1', 'V1', 'V1', 'V2', 'V2', 'V2', 'V3', 'V3', 'V3']","['V3', 'V3', 'V3', 'V3', 'V3', 'V3', 'V2', 'V2', 'V2']"
338,S,3,Correlation,"['V1', 'V1', 'V1', 'V2', 'V2', 'V2', 'V3', 'V3', 'V3']","['V3', 'V3', 'V3', 'V1', 'V3', 'V3', 'V2', 'V2', 'V2']"
338,S,4,kNN,"['V1', 'V1', 'V1', 'V2', 'V2', 'V2', 'V3', 'V3', 'V3']","['V2', 'V3', 'V3', 'V3', 'V3', 'V1', 'V2', 'V1', 'V1']"
338,S,4,sklearn_logistic_reg,"['V1', 'V1', 'V1', 'V2', 'V2', 'V2', 'V3', 'V3', 'V3']","['V3', 'V3', 'V3', 'V1', 'V3', 'V1', 'V2', 'V1', 'V1']"
338,S,4,SVM,"['V1', 'V1', 'V1', 'V2', 'V2', 'V2', 'V3', 'V3', 'V3']","['V3', 'V3', 'V3', 'V3', 'V3', 'V1', 'V2', 'V1', 'V1']"
338,S,4,Correlation,"['V1', 'V1', 'V1', 'V2', 'V2', 'V2', 'V3', 'V3', 'V3']","['V2', 'V3', 'V3', 'V3', 'V3', 'V1', 'V2', 'V1', 'V1']"
338,N,0,kNN,"['V1', 'V1', 'V1', 'V1', 'V2', 'V2', 'V2', 'V2', 'V3', 'V3', 'V3', 'V3']","['V2', 'V2', 'V3', 'V2', 'V1', 'V3', 'V3', 'V3', 'V2', 'V2', 'V2', 'V3']"
338,N,0,sklearn_logistic_reg,"['V1', 'V1', 'V1', 'V1', 'V2', 'V2', 'V2', 'V2', 'V3', 'V3', 'V3', 'V3']","['V2', 'V2', 'V3', 'V2', 'V1', 'V1', 'V3', 'V3', 'V2', 'V2', 'V2', 'V1']"
338,N,0,SVM,"['V1', 'V1', 'V1', 'V1', 'V2', 'V2', 'V2', 'V2', 'V3', 'V3', 'V3', 'V3']","['V2', 'V2', 'V3', 'V2', 'V3', 'V3', 'V3', 'V3', 'V2', 'V2', 'V2', 'V3']"
338,N,0,Correlation,"['V1', 'V1', 'V1', 'V1', 'V2', 'V2', 'V2', 'V2', 'V3', 'V3', 'V3', 'V3']","['V2', 'V2', 'V3', 'V2', 'V1', 'V3', 'V3', 'V3', 'V2', 'V2', 'V2', 'V3']"
338,N,1,kNN,"['V1', 'V1', 'V1', 'V2', 'V2', 'V2', 'V3', 'V3', 'V3']","['V3', 'V3', 'V2', 'V1', 'V2', 'V3', 'V2', 'V1', 'V2']"
338,N,1,sklearn_logistic_reg,"['V1', 'V1', 'V1', 'V2', 'V2', 'V2', 'V3', 'V3', 'V3']","['V3', 'V3', 'V2', 'V1', 'V2', 'V3', 'V2', 'V1', 'V2']"
338,N,1,SVM,"['V1', 'V1', 'V1', 'V2', 'V2', 'V2', 'V3', 'V3', 'V3']","['V3', 'V3', 'V2', 'V1', 'V1', 'V3', 'V2', 'V1', 'V2']"
338,N,1,Correlation,"['V1', 'V1', 'V1', 'V2', 'V2', 'V2', 'V3', 'V3', 'V3']","['V3', 'V3', 'V2', 'V1', 'V2', 'V3', 'V2', 'V1', 'V2']"
338,N,2,kNN,"['V1', 'V1', 'V1', 'V2', 'V2', 'V2', 'V3', 'V3', 'V3']","['V3', 'V3', 'V3', 'V3', 'V1', 'V1', 'V1', 'V1', 'V1']"
338,N,2,sklearn_logistic_reg,"['V1', 'V1', 'V1', 'V2', 'V2', 'V2', 'V3', 'V3', 'V3']","['V3', 'V3', 'V3', 'V3', 'V3', 'V3', 'V1', 'V1', 'V1']"
338,N,2,SVM,"['V1', 'V1', 'V1', 'V2', 'V2', 'V2', 'V3', 'V3', 'V3']","['V2', 'V3', 'V3', 'V3', 'V3', 'V3', 'V1', 'V1', 'V1']"
338,N,2,Correlation,"['V1', 'V1', 'V1', 'V2', 'V2', 'V2', 'V3', 'V3', 'V3']","['V2', 'V3', 'V3', 'V3', 'V1', 'V3', 'V1', 'V1', 'V1']"
338,N,3,kNN,"['V1', 'V1', 'V1', 'V2', 'V2', 'V2', 'V3', 'V3', 'V3']","['V2', 'V3', 'V3', 'V1', 'V3', 'V3', 'V1', 'V1', 'V3']"
338,N,3,sklearn_logistic_reg,"['V1', 'V1', 'V1', 'V2', 'V2', 'V2', 'V3', 'V3', 'V3']","['V2', 'V3', 'V3', 'V3', 'V3', 'V3', 'V1', 'V1', 'V3']"
338,N,3,SVM,"['V1', 'V1', 'V1', 'V2', 'V2', 'V2', 'V3', 'V3', 'V3']","['V3', 'V3', 'V3', 'V1', 'V3', 'V3', 'V1', 'V1', 'V3']"
338,N,3,Correlation,"['V1', 'V1', 'V1', 'V2', 'V2', 'V2', 'V3', 'V3', 'V3']","['V2', 'V3', 'V2', 'V1', 'V3', 'V3', 'V1', 'V1', 'V3']"
338,N,4,kNN,"['V1', 'V1', 'V1', 'V2', 'V2', 'V2', 'V3', 'V3', 'V3']","['V3', 'V2', 'V2', 'V1', 'V3', 'V3', 'V2', 'V1', 'V2']"
338,N,4,sklearn_logistic_reg,"['V1', 'V1', 'V1', 'V2', 'V2', 'V2', 'V3', 'V3', 'V3']","['V3', 'V2', 'V2', 'V1', 'V3', 'V1', 'V1', 'V1', 'V2']"
338,N,4,SVM,"['V1', 'V1', 'V1', 'V2', 'V2', 'V2', 'V3', 'V3', 'V3']","['V3', 'V2', 'V2', 'V1', 'V3', 'V3', 'V2', 'V2', 'V2']"
338,N,4,Correlation,"['V1', 'V1', 'V1', 'V2', 'V2', 'V2', 'V3', 'V3', 'V3']","['V3', 'V2', 'V2', 'V1', 'V3', 'V3', 'V2', 'V1', 'V2']"
365,S,0,kNN,"['V1', 'V1', 'V1', 'V1', 'V2', 'V2', 'V2', 'V2', 'V3', 'V3', 'V3', 'V3']","['V2', 'V2', 'V3', 'V3', 'V2', 'V1', 'V1', 'V1', 'V2', 'V1', 'V1', 'V2']"
365,S,0,sklearn_logistic_reg,"['V1', 'V1', 'V1', 'V1', 'V2', 'V2', 'V2', 'V2', 'V3', 'V3', 'V3', 'V3']","['V2', 'V2', 'V2', 'V2', 'V2', 'V1', 'V1', 'V1', 'V2', 'V1', 'V1', 'V3']"
365,S,0,SVM,"['V1', 'V1', 'V1', 'V1', 'V2', 'V2', 'V2', 'V2', 'V3', 'V3', 'V3', 'V3']","['V2', 'V2', 'V2', 'V2', 'V2', 'V1', 'V1', 'V3', 'V2', 'V1', 'V1', 'V3']"
365,S,0,Correlation,"['V1', 'V1', 'V1', 'V1', 'V2', 'V2', 'V2', 'V2', 'V3', 'V3', 'V3', 'V3']","['V2', 'V2', 'V2', 'V3', 'V2', 'V3', 'V1', 'V1', 'V2', 'V1', 'V1', 'V2']"
365,S,1,kNN,"['V1', 'V1', 'V1', 'V2', 'V2', 'V2', 'V3', 'V3', 'V3']","['V3', 'V3', 'V3', 'V3', 'V1', 'V1', 'V2', 'V1', 'V1']"
365,S,1,sklearn_logistic_reg,"['V1', 'V1', 'V1', 'V2', 'V2', 'V2', 'V3', 'V3', 'V3']","['V3', 'V3', 'V3', 'V3', 'V1', 'V1', 'V2', 'V1', 'V1']"
365,S,1,SVM,"['V1', 'V1', 'V1', 'V2', 'V2', 'V2', 'V3', 'V3', 'V3']","['V3', 'V3', 'V3', 'V3', 'V1', 'V1', 'V2', 'V1', 'V3']"
